,0,1,2,3,4,5,6
56,4.0,Evandro Goncalves,Arthur Lanci,Brazil,15,"$6,000.00",680.0
57,5.0,Thomas Hodges,Zachery Schubert,Australia,3,"$3,750.00",600.0
58,5.0,Theo Brunner,Trevor Crabb,United States,9,"$3,750.00",600.0
59,5.0,Daniel Dearing,Sam Schachter,Canada,"19, Q4","$3,750.00",600.0
60,5.0,Remi Bassereau,Julien Lyneel,France,"22, Q12","$3,750.00",600.0
61,9.0,David Ahman,Jonatan Hellvig,Sweden,1,"$2,500.00",460.0
62,9.0,Kusti Nolvak,Mart Tiisaar,Estonia,2,"$2,500.00",460.0
63,9.0,Arnaud Gauthier-Rat,Youssef Krou,France,7,"$2,500.00",460.0
64,9.0,Paul Burnett,Christopher McHugh,Australia,8,"$2,500.00",460.0
65,9.0,Martin Ermacora,Philipp Waller,Austria,12,"$2,500.00",460.0
66,9.0,Mathias Berntsen,Hendrik Mol,Norway,13,"$2,500.00",460.0
67,9.0,Piotr Kantor,Maciej Rudol,Poland,"18, Q3","$2,500.00",460.0
68,9.0,Jorge Alayo,Noslen Diaz,Cuba,"20, Q8","$2,500.00",460.0
69,17.0,Julian Horl,Alexander Horst,Austria,14,"$1,500.00",360.0
70,17.0,Leon Luini,Ruben Penninga,Netherlands,"17, Q2","$1,500.00",360.0
71,19.0,Daniele Lupo,Enrico Rossi,Italy,5,"$1,000.00",300.0
72,19.0,Miguel Sarabia,Juan Virgen,Mexico,6,"$1,000.00",300.0
73,19.0,Tri Bourne,Chaim Schalk,United States,10,"$1,000.00",300.0
74,19.0,Hugo Campos,Joao Pedrosa,Portugal,"21, Q10","$1,000.00",300.0
75,19.0,Arthur da Silva,Adrielson Dos Santos,Brazil,"23, Q17","$1,000.00",300.0
76,19.0,Felipe Alves,Gabriel Dos Reis,Brazil,"24, Q22","$1,000.00",300.0
77,25.0,Florian Breer,Marco Krattiger,Switzerland,Q1,$0.00,220.0
78,25.0,Nicolas Capogrosso,Tomas Capogrosso,Argentina,Q5,$0.00,220.0
79,25.0,Aleksandrs Samoilovs,Janis Smedins,Latvia,Q6,$0.00,220.0
80,25.0,Lukas Pfretzschner,Robin Sowa,Germany,Q9,$0.00,220.0
81,25.0,Gianluca Dal Corso,Marco Viscovich,Italy,Q13,$0.00,220.0
82,25.0,Evan Cory,Logan Webber,United States,Q14,$0.00,220.0
83,25.0,Noe Aravena,Vicente Droguett,Chile,Q15,$0.00,220.0
84,25.0,Simon Kulzer,Bennet Poniewaz,Germany,Q26,$0.00,220.0
85,33.0,Izac Carracher,Mark Nicolaidis,Australia,Q7,$0.00,140.0
86,33.0,Leo Dillier,Adrian Heidrich,Switzerland,Q11,$0.00,140.0
87,33.0,Hasan Mermer,Safa Urlu,Türkiye,Q16,$0.00,140.0
88,33.0,Jake MacNeil,Alexander Russell,Canada,Q18,$0.00,140.0
89,33.0,Laurenz Leitner,Paul Pascariuc,Austria,Q19,$0.00,140.0
90,33.0,Kristians Fokerots,Edgars Tocs,Latvia,Q20,$0.00,140.0
91,33.0,Isaias Aguirre,Gabriel Cruz,Mexico,Q21,$0.00,140.0
92,33.0,Nicolai Hovmann,Mads Mollgaard,Denmark,Q23,$0.00,140.0
93,33.0,Jorge Barajas,Ricardo Galindo,Mexico,Q24,$0.00,140.0
94,33.0,Billy Kolinske,Hagen Smith,United States,Q25,$0.00,140.0
95,33.0,Henrique Camboim,Pedro Sousa,Brazil,Q27,$0.00,140.0
96,33.0,Lucas Aguinelo,Johann Ferdinand,Brazil,Q28,$0.00,140.0
97,1.0,Taryn Brasher,Kristen Nuss,United States,2,"$10,000.00",800.0
98,2.0,Toni Rodriguez,Savvy Simo,United States,"21, Q14","$8,000.00",760.0
99,3.0,Victoria Lopes,Taina Silva,Brazil,"18, Q6","$7,000.00",720.0
100,4.0,Dorina Klinger,Ronja Klinger,Austria,"22, Q16","$6,000.00",680.0
101,5.0,Kelly Cheng,Sara Hughes,United States,1,"$3,750.00",600.0
102,5.0,Talita Antunes,Thamela Coradelli,Brazil,5,"$3,750.00",600.0
103,5.0,Lezana Placette,Alexia Richard,France,8,"$3,750.00",600.0
104,5.0,Barbora Hermannova,Marie-Sara Stochlova,Czech Republic,15,"$3,750.00",600.0
105,9.0,Valentina Gottardi,Marta Menegatti,Italy,4,"$2,500.00",460.0
106,9.0,Abril Flores,Atenas Gutierrez,Mexico,6,"$2,500.00",460.0
107,9.0,Karla Borger,Sandra Ittlinger,Germany,9,"$2,500.00",460.0
108,9.0,Meimei Lin,Jinjin Zeng,China,11,"$2,500.00",460.0
109,9.0,Hailey Harward,Kelley Kolinske,United States,12,"$2,500.00",460.0
110,9.0,Megan Kraft,Emily Stockman,United States,14,"$2,500.00",460.0
111,9.0,Maria Carro,Angela Lobato,Spain,"17, Q4","$2,500.00",460.0
112,9.0,Monika Paulikiene,Aine Raupelyte,Lithuania,"24, Q24","$2,500.00",460.0
113,17.0,Niina Ahtiainen,Taru Lahti,Finland,10,"$1,500.00",360.0
114,17.0,Xinxin Wang,Lingdi Zhu,China,"19, Q7","$1,500.00",360.0
115,19.0,Isabel Schneider,Julia Sude,Germany,3,"$1,000.00",300.0
116,19.0,Miki Ishii,Sayaka Mizoe,Japan,7,"$1,000.00",300.0
117,19.0,Liliana Fernandez,Paula Soria,Spain,13,"$1,000.00",300.0
118,19.0,Helena Havelkova,Marketa Slukova,Czech Republic,16,"$1,000.00",300.0
119,19.0,Suzuka Hashimoto,Reika Murakami,Japan,"20, Q12","$1,000.00",300.0
120,19.0,Erika Bobadilla,Michelle Valiente,Paraguay,"23, Q18","$1,000.00",300.0
121,25.0,Esmee Bobner,Zoe Verge-Depre,Switzerland,Q1,$0.00,220.0
122,25.0,Sarah Murphy,Corinne Quiggle,United States,Q2,$0.00,220.0
123,25.0,Lena Plesiutschnig,Katharina Schutzenhofer,Austria,Q3,$0.00,220.0
124,25.0,Jie Dong,Fan Wang,China,Q5,$0.00,220.0
125,25.0,Megan McNamara,Nicole McNamara,Canada,Q8,$0.00,220.0
126,25.0,Akiko Hasegawa,Yurika Sakaguchi,Japan,Q11,$0.00,220.0
127,25.0,Katarzyna Kociolek,Marta Lodej,Poland,Q13,$0.00,220.0
128,25.0,Alison Mckay,Katharine Wuttunee,Canada,Q23,$0.00,220.0
129,33.0,Anniina Parkkinen,Sara Sinisalo,Finland,Q9,$0.00,140.0
130,33.0,Francisca Rivas,Chris Vorpahl,Chile,Q10,$0.00,140.0
131,33.0,Jessica Gaffney,Zana Muno,United States,Q15,$0.00,140.0
132,33.0,Tetiana Lazarenko,Diana Lunina,Ukraine,Q17,$0.00,140.0
133,33.0,Saki Maruyama,Asami Shiba,Japan,Q19,$0.00,140.0
134,33.0,Marie-Alex Belanger,Molley McBain,Canada,Q20,$0.00,140.0
135,33.0,Sakurako Fujii,Megumi Murakami,Japan,Q21,$0.00,140.0
136,33.0,Aline Chamereau,Clemence Vieira,France,Q22,$0.00,140.0
137,33.0,Heleene Hollas,Liisa Remmelg,Estonia,Q25,$0.00,140.0
138,33.0,Takemi Nishibori,Sayaka Yamada,Japan,Q26,$0.00,140.0
139,33.0,Valerie Dvornikova,Anna Pospisilova,Czech Republic,Q27,$0.00,140.0
140,33.0,Esperanza Albarran,Yeray Vidaurrazaga,Mexico,Q28,$0.00,140.0
141,33.0,Ivanna Rivera,Susana Torres,Mexico,Q29,$0.00,140.0
142,1.0,Likejiang Ha,Jiaxin Wu,China,2,"$1,000.00",400.0
143,2.0,Ben O'Dea,Sam O'Dea,New Zealand,1,$700.00,360.0
144,3.0,Dave McKienzie,Ben Vaught,United States,"13, Q10",$500.00,320.0
145,4.0,Thomas Hartles,Thomas Heijs,New Zealand,14,$400.00,280.0
146,5.0,Soloman Bushby,James Takken,Australia,4,$300.00,240.0
147,5.0,Bradley Fuller,Alani Nicklin,New Zealand,5,$300.00,240.0
148,5.0,Kosuke Fukushima,Kai Kurokawa,Japan,9,$300.00,240.0
149,5.0,John McManaway,Thomas Reid,New Zealand,10,$300.00,240.0
150,9.0,Ben Hood,Lucas Josefsen,Australia,6,$200.00,180.0
151,9.0,Ross McKelvie,Callum Stewart,Scotland,11,$200.00,180.0
152,9.0,Campbell Forsyth,Gregory Vukets,New Zealand,"15, Q11",$200.00,180.0
153,9.0,Martin Kaufer,Ole Schwarmann,Germany,16,$200.00,180.0
154,13.0,Zhuoxin Li,Tao Xue,China,3,$100.00,140.0
155,13.0,Matthew Abela,Christopher Blake,Australia,"7, Q1",$100.00,140.0
156,13.0,Shiro Furuta,Dylan Kurokawa,Japan,8,$100.00,140.0
157,13.0,Ryota Oda,Ryo Shindo,Japan,"12, Q4",$100.00,140.0
158,17.0,Garang Anyang,Declan Tiso,Australia,Q2,$0.00,100.0
159,17.0,Kaia Clarkin,D'Artagnan Potts,Australia,Q3,$0.00,100.0
160,17.0,Mitchell Field,Ruben Gale,Australia,Q5,$0.00,100.0
161,17.0,Juraj Krajci,Calum Stewart,New Zealand,Q9,$0.00,100.0
162,21.0,Charlie Dalton,Michael Watson,New Zealand,Q6,$0.00,60.0
163,21.0,Giles Black,Joshua Tiplady,New Zealand,Q7,$0.00,60.0
164,21.0,James Sadlier,Kyle Smith,New Zealand,Q8,$0.00,60.0
165,21.0,Nobuaki Taira,Shuma Watanabe,Japan,Q12,$0.00,60.0
166,21.0,Tyran Gillespie,Perry Preston,New Zealand,Q13,$0.00,60.0
167,1.0,Shaunna Polley,Alice Zeimann,New Zealand,1,"$1,000.00",400.0
168,2.0,Olivia MacDonald,Julia Tilley,New Zealand,10,$700.00,360.0
169,3.0,Shanice Marcelle,Lea Monkhouse,Canada,8,$500.00,320.0
170,4.0,Darby Dunn,Olivia Furlan,Canada,4,$400.00,280.0
171,5.0,Kana Motomura,Riko Tsujimura,Japan,6,$300.00,240.0
172,5.0,Kayla Mears,Tara Phillips,Australia,"7, Q1",$300.00,240.0
173,5.0,Kiana Stevenson,Rosa Vesty,New Zealand,12,$300.00,240.0
174,5.0,Melody Benhamou,Manon Rebuffel,France,14,$300.00,240.0
175,9.0,Jasmine Fleming,Georgia Johnson,Australia,2,$200.00,180.0
176,9.0,Caitlin Bettenay,Brittany Kendall,Australia,3,$200.00,180.0
177,9.0,Miharu Kashihara,Harumi Sakai,Japan,5,$200.00,180.0
178,9.0,Malin Bergholm,Louise Maneskold,Sweden,9,$200.00,180.0
179,13.0,Charlie-May Clarke,Katie Sadlier,New Zealand,11,$100.00,140.0
180,13.0,Meile Green,Maria Hanabadi,New Zealand,"13, Q2",$100.00,140.0
181,13.0,Anna Harrison,Holly Isherwood,New Zealand,"15, Q3",$100.00,140.0
182,13.0,Susan Imhasly,Melissa Ruru,New Zealand,"16, Q4",$100.00,140.0
183,17.0,Sydney Clough,Ariane Pola,New Zealand,Q5,$0.00,100.0
184,17.0,Logan Beitler,Jessica McGuire,United States,Q6,$0.00,100.0
185,1.0,David Ahman,Jonatan Hellvig,Sweden,2,"$30,000.00",1200.0
186,2.0,Anders Mol,Christian Sorum,Norway,1,"$20,000.00",1100.0
187,3.0,Nils Ehlers,Clemens Wickler,Germany,10,"$14,000.00",1000.0
188,4.0,Stefan Boermans,Yorick de Groot,Netherlands,"13, Q5","$10,000.00",900.0
189,5.0,Alexander Brouwer,Robert Meeuwsen,Netherlands,3,"$8,000.00",760.0
190,5.0,Adrian Carambula,Alex Ranghieri,Italy,6,"$8,000.00",760.0
191,5.0,Ondrej Perusic,David Schweiner,Czech Republic,7,"$8,000.00",760.0
192,5.0,Samuele Cottafava,Paolo Nicolai,Italy,9,"$8,000.00",760.0
193,9.0,Michal Bryl,Bartosz Losiak,Poland,4,"$6,000.00",600.0
194,9.0,Esteban Grimalt,Marco Grimalt,Chile,5,"$6,000.00",600.0
195,9.0,Kusti Nolvak,Mart Tiisaar,Estonia,11,"$6,000.00",600.0
196,9.0,Daniele Lupo,Enrico Rossi,Italy,"16, Q10","$6,000.00",600.0
197,13.0,Ahmed Tijan,Cherif Younousse,Qatar,8,"$5,000.00",460.0
198,13.0,Miguel Sarabia,Juan Virgen,Mexico,12,"$5,000.00",460.0
199,13.0,Theo Brunner,Trevor Crabb,United States,"14, Q6","$5,000.00",460.0
200,13.0,Tri Bourne,Chaim Schalk,United States,"15, Q8","$5,000.00",460.0
201,17.0,Moritz Pristauz,Robin Seidl,Austria,Q1,$0.00,400.0
202,17.0,Andre Loyola,George Wanderley,Brazil,Q3,$0.00,400.0
203,17.0,Vitor Felipe,Renato Lima,Brazil,Q4,$0.00,400.0
204,17.0,Julian Horl,Alexander Horst,Austria,Q15,$0.00,400.0
205,21.0,Thomas Hodges,Zachery Schubert,Australia,Q2,$0.00,340.0
206,21.0,Evandro Goncalves,Arthur Lanci,Brazil,Q7,$0.00,340.0
207,21.0,Martin Ermacora,Philipp Waller,Austria,Q9,$0.00,340.0
208,21.0,Daniel Dearing,Sam Schachter,Canada,Q11,$0.00,340.0
209,21.0,Paul Burnett,Christopher McHugh,Australia,Q12,$0.00,340.0
210,21.0,Florian Breer,Marco Krattiger,Switzerland,Q13,$0.00,340.0
211,21.0,Leon Luini,Ruben Penninga,Netherlands,Q14,$0.00,340.0
212,21.0,Jorge Barajas,Gabriel Cruz,Mexico,Q16,$0.00,340.0
213,1.0,Kelly Cheng,Sara Hughes,United States,5,"$30,000.00",1200.0
214,2.0,Duda Lisboa,Ana Patricia Silva,Brazil,1,"$20,000.00",1100.0
215,3.0,Mariafe Artacho,Taliqua Clancy,Australia,4,"$14,000.00",1000.0
216,4.0,Valentina Gottardi,Marta Menegatti,Italy,"15, Q10","$10,000.00",900.0
217,5.0,Raisa Schoon,Katja Stam,Netherlands,2,"$8,000.00",760.0
218,5.0,Svenja Muller,Cinja Tillmann,Germany,3,"$8,000.00",760.0
219,5.0,Carol Salgado,Barbara Seixas,Brazil,8,"$8,000.00",760.0
220,5.0,Melissa Humana-Paredes,Brandie Wilkerson,Canada,9,"$8,000.00",760.0
221,9.0,Sophie Bukovec,Sarah Pavan,Canada,10,"$6,000.00",600.0
222,9.0,Terese Cannon,Sarah Sponcil,United States,11,"$6,000.00",600.0
223,9.0,Taryn Brasher,Kristen Nuss,United States,"13, Q1","$6,000.00",600.0
224,9.0,Lezana Placette,Alexia Richard,France,"14, Q4","$6,000.00",600.0
225,13.0,Julia Donlin,Betsi Flint,United States,6,"$5,000.00",460.0
226,13.0,Tina Graudina,Anastasija Samoilova,Latvia,7,"$5,000.00",460.0
227,13.0,Abril Flores,Atenas Gutierrez,Mexico,12,"$5,000.00",460.0
228,13.0,Liliana Fernandez,Paula Soria,Spain,"16, Q11","$5,000.00",460.0
229,17.0,Hegeile Almeida,Taiana Lima,Brazil,Q5,$0.00,400.0
230,17.0,Miki Ishii,Sayaka Mizoe,Japan,Q9,$0.00,400.0
231,17.0,Meimei Lin,Jinjin Zeng,China,Q14,$0.00,400.0
232,17.0,Megan Kraft,Emily Stockman,United States,Q15,$0.00,400.0
233,21.0,Talita Antunes,Thamela Coradelli,Brazil,Q2,$0.00,340.0
234,21.0,Andressa Cavalcanti,Vitoria De Souza,Brazil,Q3,$0.00,340.0
235,21.0,Niina Ahtiainen,Taru Lahti,Finland,Q6,$0.00,340.0
236,21.0,Isabel Schneider,Julia Sude,Germany,Q7,$0.00,340.0
237,21.0,Barbora Hermannova,Marie-Sara Stochlova,Czech Republic,Q8,$0.00,340.0
238,21.0,Hailey Harward,Kelley Kolinske,United States,Q12,$0.00,340.0
239,21.0,Shaunna Polley,Alice Zeimann,New Zealand,Q13,$0.00,340.0
240,21.0,Esperanza Albarran,Yeray Vidaurrazaga,Mexico,Q16,$0.00,340.0
241,1.0,Likejiang Ha,Jiaxin Wu,China,2,"$1,000.00",400.0
242,2.0,Poravid Taovato,Pithak Tipjan,Thailand,3,$700.00,360.0
243,3.0,Jordan Hoppe,Charlie Siragusa,United States,"16, Q16",$500.00,320.0
244,4.0,Simon Kulzer,Bennet Poniewaz,Germany,"9, Q3",$400.00,280.0
245,5.0,Soloman Bushby,James Takken,Australia,1,$300.00,240.0
246,5.0,Bradley Fuller,Alani Nicklin,New Zealand,5,$300.00,240.0
247,5.0,Ben Hood,Lucas Josefsen,Australia,6,$300.00,240.0
248,5.0,John McManaway,Thomas Reid,New Zealand,"11, Q4",$300.00,240.0
249,9.0,Surin Jongklang,Dunwinit Kaewsai,Thailand,4,$200.00,180.0
250,9.0,Jumpei Ikeda,Kensuke Shoji,Japan,10,$200.00,180.0
251,9.0,Kaia Clarkin,D'Artagnan Potts,Australia,13,$200.00,180.0
252,9.0,Garang Anyang,Declan Tiso,Australia,"15, Q7",$200.00,180.0
253,13.0,Kosuke Fukushima,Kai Kurokawa,Japan,"7, Q2",$100.00,140.0
254,13.0,Shiro Furuta,Dylan Kurokawa,Japan,8,$100.00,140.0
255,13.0,Christopher Blake,Bryce Poland,Australia,12,$100.00,140.0
256,13.0,Mitchell Croft,Timothy Ebbs,Australia,14,$100.00,140.0
257,17.0,Thomas Hartles,Thomas Heijs,New Zealand,Q5,$0.00,100.0
258,17.0,Matthew Abela,Robert Reeves,Australia,Q6,$0.00,100.0
259,17.0,Jie Li,Yanwei Wang,China,Q8,$0.00,100.0
260,21.0,Banlue Nakprakhong,Intuch Techakijvorakul,Thailand,Q1,$0.00,60.0
261,21.0,Ryota Oda,Ryo Shindo,Japan,Q9,$0.00,60.0
262,21.0,Martin Kaufer,Ole Schwarmann,Germany,Q10,$0.00,60.0
263,21.0,Juraj Krajci,Eric Stratton,New Zealand,Q11,$0.00,60.0
264,21.0,Ruben Gale,Brad Sting,Australia,Q12,$0.00,60.0
265,21.0,Jarvis Page,Thomas Smith,Australia,Q13,$0.00,60.0
266,21.0,Jacob Baird,Pieter van Driel,Australia,Q14,$0.00,60.0
267,21.0,Samuel Chen,William Kay,Australia,Q15,$0.00,60.0
268,1.0,Stefanie Fejes,Jana Milutinovic,Australia,6,"$1,000.00",400.0
269,2.0,Jasmine Fleming,Georgia Johnson,Australia,1,$700.00,360.0
270,3.0,Majabelle Lawac,Sherysyn Toko,Vanuatu,2,$500.00,320.0
271,4.0,Darby Dunn,Olivia Furlan,Canada,3,$400.00,280.0
272,5.0,Caitlin Bettenay,Tara Phillips,Australia,4,$300.00,240.0
273,5.0,Kana Motomura,Riko Tsujimura,Japan,5,$300.00,240.0
274,5.0,Miharu Kashihara,Harumi Sakai,Japan,7,$300.00,240.0
275,5.0,Elizabeth Alchin,Kayla Mears,Australia,10,$300.00,240.0
276,9.0,Olivia MacDonald,Julia Tilley,New Zealand,8,$200.00,180.0
277,9.0,Shion Tsubouchi,Maho Yabumi,Japan,"9, Q1",$200.00,180.0
278,9.0,Rebecca Ingram,Stefanie Weiler,Australia,"11, Q2",$200.00,180.0
279,9.0,Melody Benhamou,Manon Rebuffel,France,"13, Q3",$200.00,180.0
280,13.0,Charlie-May Clarke,Katie Sadlier,New Zealand,12,$100.00,140.0
281,13.0,Loti Joe,Chantale Willie,Vanuatu,14,$100.00,140.0
282,13.0,Malin Bergholm,Louise Maneskold,Sweden,"15, Q4",$100.00,140.0
283,13.0,Cassandra Dodd,Kyla Sanchez,Australia,"16, Q5",$100.00,140.0
284,17.0,Kelsey Bradbury,Anna Donlan,United States,Q9,$0.00,100.0
285,17.0,Logan Beitler,Jessica McGuire,United States,Q10,$0.00,100.0
286,17.0,Giulia Deissenberger,Tabea Schwarz,Germany,Q11,$0.00,100.0
287,21.0,Bailee Kendall,Lucy Knight,Australia,Q6,$0.00,60.0
288,21.0,Meile Green,Maria Hanabadi,New Zealand,Q7,$0.00,60.0
289,21.0,Tandia Briggs,Ella Milne,Australia,Q8,$0.00,60.0
290,21.0,Ella Schabort,Sophia Soderberg,Australia,Q12,$0.00,60.0
291,21.0,Jessica Jones,Ruby Vanloo,Australia,Q13,$0.00,60.0
292,21.0,Brielle Kettleton,Georgie Vanloo,Australia,Q14,$0.00,60.0
293,21.0,Chloe Wise,Alexia Zammit,Australia,Q15,$0.00,60.0
294,21.0,Josephine Foster,Tyla Hardy,Australia,Q16,$0.00,60.0
295,1.0,Andrea Abbiati,Tiziano Andreatta,Italy,5,"$1,000.00",400.0
296,2.0,Jumpei Ikeda,Kensuke Shoji,Japan,3,$700.00,360.0
297,3.0,Simon Kulzer,Bennet Poniewaz,Germany,2,$500.00,320.0
298,4.0,Ian Satterfield,Jake Urrutia,United States,7,$400.00,280.0
299,5.0,Bradley Fuller,Alani Nicklin,New Zealand,1,$300.00,240.0
300,5.0,Domonkos Doczi,Csanad Petik,Hungary,10,$300.00,240.0
301,5.0,Stian Opsahl,Havard Solheim,Norway,11,$300.00,240.0
302,5.0,Malte Hoppner,Tilo Rietschel,Germany,"16, Q5",$300.00,240.0
303,9.0,Raihau Mare,Jeremie Paraue,French Polynesia,4,$200.00,180.0
304,9.0,Shiro Furuta,Dylan Kurokawa,Japan,6,$200.00,180.0
305,9.0,Marty Lorenz,Adam Roberts,United States,9,$200.00,180.0
306,9.0,Mark Bucknam,Ben Vaught,United States,"13, Q3",$200.00,180.0
307,13.0,Jordan Hoppe,Charlie Siragusa,United States,"8, Q1",$100.00,140.0
308,13.0,Martin Kaufer,Ole Schwarmann,Germany,"12, Q2",$100.00,140.0
309,13.0,Giles Black,Joshua Tiplady,New Zealand,14,$100.00,140.0
310,13.0,Christopher Ariitai,Hevanoa Vaki,French Polynesia,15,$100.00,140.0
311,17.0,Tynan Gannett,Eric Girard,Canada,Q4,$0.00,100.0
312,1.0,Andre Loyola,George Wanderley,Brazil,1,"$10,000.00",800.0
313,2.0,Arnaud Gauthier-Rat,Youssef Krou,France,5,"$8,000.00",760.0
314,3.0,Mathias Berntsen,Hendrik Mol,Norway,9,"$7,000.00",720.0
315,4.0,Jorge Alayo,Noslen Diaz,Cuba,"12, Q2","$6,000.00",680.0
316,5.0,Adrian Gavira,Pablo Herrera,Spain,3,"$3,750.00",600.0
317,5.0,Tri Bourne,Chaim Schalk,United States,7,"$3,750.00",600.0
318,5.0,Vitor Felipe,Renato Lima,Brazil,10,"$3,750.00",600.0
319,5.0,Andy Benesh,Miles Partain,United States,"13, Q3","$3,750.00",600.0
320,9.0,Matthew Immers,Steven van de Velde,Netherlands,2,"$2,500.00",460.0
321,9.0,Evandro Goncalves,Arthur Lanci,Brazil,8,"$2,500.00",460.0
322,9.0,Moritz Pristauz,Robin Seidl,Austria,11,"$2,500.00",460.0
323,9.0,Nicolas Capogrosso,Tomas Capogrosso,Argentina,"15, Q4","$2,500.00",460.0
324,9.0,Julian Horl,Alexander Horst,Austria,17,"$2,500.00",460.0
325,9.0,Martin Ermacora,Philipp Waller,Austria,18,"$2,500.00",460.0
326,9.0,Paul Burnett,Christopher McHugh,Australia,19,"$2,500.00",460.0
327,9.0,Piotr Kantor,Maciej Rudol,Poland,"21, Q9","$2,500.00",460.0
328,17.0,Florian Breer,Marco Krattiger,Switzerland,16,"$1,500.00",360.0
